Address,Latitude,Longitude
"60 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126601,144.9720083
"115 Little Lonsdale St, Melbourne, Victoria 3000 Australia",-37.809894,144.9665964
"260A Swan Street, Richmond, Melbourne, Victoria 3121 Australia",-37.8248938,144.9910501
"14 Meyers Pl, Melbourne, Victoria 3000 Australia",-37.8120541,144.9722144
"112 Hopkins St, Footscray, Maribyrnong, Victoria 3011 Australia",-37.8000376,144.9020356
"12-16 Kavanagh St, Melbourne, Victoria 3006 Australia",-37.8227467,144.9667789
"211 Queen St, Melbourne, Victoria 3000 Australia",-37.8075659,144.9579251
"191 Nicholson St Carlton, Melbourne, Victoria 3053 Australia",-37.795569,144.975048
"113 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.81051,144.968961
"199 Lygon St, Melbourne, Victoria 3053 Australia",-37.8009612,144.9666703
"349 Little Collins St, Melbourne, Victoria 3000 Australia",-37.815458,144.963089
"70 Bourke St, Melbourne, Victoria 3000 Australia",-37.811841995918364,144.97087379183674
"6 Melbourne Pl, Melbourne, Victoria 3000 Australia",-37.8134515,144.9689196
"225 Clarendon St, Melbourne, Victoria 3205 Australia",-37.8354094,144.9616864
"201-203 Faraday St, Melbourne, Victoria 3053 Australia",-37.7989611,144.96781839517007
"5 Centre Pl, Melbourne, Victoria 3000 Australia",-37.8164149,144.9654376
"342 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.813279575,144.962422625
"50 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8106839,144.9709757
"25 Market Lane, Melbourne, Victoria 3000 Australia",-37.8119532,144.9693666
"225 Russell St, Melbourne, Victoria 3000 Australia",-37.81131988888889,144.96716990555555
"116 Cecil St, Melbourne, Victoria 3205 Australia",-37.86384675,144.90132076539524
"513 Elizabeth St, Melbourne, Victoria 3000 Australia",-37.8068913,144.9595173
"121 Johnston St, Fitzroy, Yarra, Victoria 3065 Australia",-37.7982584,144.9789257
"73 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8677069,144.9787835
"175 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",-37.802243,144.977606
